clase,limite_inferior,limite_superior,frecuencia_observada,frecuencia_esperada,aporte_chi2
1,-inf,7.255158833760612,258,435.3333333333333,72.23685553854006
2,7.255158833760612,7.762892145119628,818,435.3333333333333,336.371618172537
3,7.762892145119628,8.141993730969242,587,435.3333333333333,52.83945890760594
4,8.141993730969242,8.471537076274986,337,435.3333333333333,22.21158754466564
5,8.471537076274986,8.78081932584586,485,435.3333333333333,5.666411434405314
6,8.78081932584586,9.086782328502647,497,435.3333333333333,8.73532414497193
7,9.086782328502647,9.403406450073383,298,435.3333333333333,43.32414497192444
8,9.403406450073383,9.746709757881932,149,435.3333333333333,188.3310362429811
9,9.746709757881932,10.141203225387242,178,435.3333333333333,152.1143440530883
10,10.141203225387242,10.636449861988332,415,435.3333333333333,0.9497192445125047
11,10.636449861988332,11.380813980441713,491,435.3333333333333,7.118172537008683
12,11.380813980441713,inf,711,435.3333333333333,174.5607452782032
