medida,valor
n,5224.0
media,9.209496252004346
mediana,8.834722633243562
moda,8.789690461756392
q1,7.863415335769376
q3,10.51484610751361
iqr,2.651430771744235
varianza_muestral,2.33892007749721
desvio_estandar_muestral,1.5293528296299745
minimo,6.780436644476091
maximo,12.698395638152574
rango,5.917958993676483
coeficiente_variacion,0.16606259319527142
asimetria,0.46732864722242046
curtosis,-1.0272524214314425
limite_outlier_inferior,3.886269178153023
limite_outlier_superior,14.491992265129964
cantidad_outliers_iqr,0.0
